Provider,Model,ModelShort,BestBaseline,TCUS-compare,Delta
grok,grok-4-1-fast-reasoning,Grok 4.1 Fast (R),0.696927600479497,0.6744628526611356,-0.022464747818361386
gemini,gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,0.6909417356099278,0.6742915363284634,-0.016650199281464384
grok,grok-4-1-fast-non-reasoning,Grok 4.1 Fast,0.7469905533063428,0.7374775907568171,-0.009512962549525716
qwen,Qwen2.5-VL-3B,Qwen2.5-VL-3B,0.6223329682365827,0.6169721154554793,-0.005360852781103431
claude,claude-haiku-4-5-20251001-thinking,Claude Haiku 4.5 (T),0.6726643420467577,0.6674512004180884,-0.005213141628669371
claude,claude-opus-4-5-20251101-thinking,Claude Opus 4.5 (T),0.6201012145748989,0.6157278375010081,-0.0043733770738907385
claude,claude-opus-4-5-20251101,Claude Opus 4.5,0.6319125424927331,0.6283132748890579,-0.003599267603675238
grok,grok-3,Grok-3,0.5396620355537433,0.536132836191087,-0.0035291993626562768
claude,claude-opus-4-6-thinking,Claude Opus 4.6 (T),0.3325627889318737,0.3296216087225845,-0.0029411802092891848
claude,claude-haiku-4-5-20251001,Claude Haiku 4.5,0.7439115540330115,0.7435843795712079,-0.0003271744618035255
qwen,Qwen2.5-VL-7B,Qwen2.5-VL-7B,0.7402011705229594,0.7400038215700995,-0.0001973489528599437
claude,claude-opus-4-7,Claude Opus 4.7,0.7642080331232993,0.7644449290020896,0.00023689587879027751
gpt,gpt-5.5,GPT-5.5,0.5706531027393424,0.5800336731936726,0.009380570454330162
gpt,gpt-5.4,GPT-5.4,0.5837182615223745,0.5949158642800498,0.01119760275767534
gemini,gemini-2.5-flash-thinking,Gemini 2.5 Flash (T),0.6597520635219534,0.6714903242020802,0.011738260680126844
gpt,gpt-5,GPT-5,0.5837182615223745,0.5981634664211828,0.014445204898808295
gpt,gpt-5.4-mini,GPT-5.4 Mini,0.6524465008675535,0.6674807016246331,0.015034200757079619
claude,claude-sonnet-4-6-thinking,Claude Sonnet 4.6 (T),0.3270885143701034,0.35167746856906,0.024588954198956625
gpt,gpt-5.1,GPT-5.1,0.6035442722435682,0.6313989772022545,0.02785470495868625
claude,claude-sonnet-4-6,Claude Sonnet 4.6,0.3536672470767357,0.3831533797249722,0.029486132648236518
claude,claude-opus-4-6,Claude Opus 4.6,0.3556482586129773,0.3858563560486214,0.03020809743564412
claude,claude-sonnet-4-5-20250929,Claude Sonnet 4.5,0.6645770296185809,0.6994046932062913,0.03482766358771039
claude,claude-sonnet-4-5-20250929-thinking,Claude Sonnet 4.5 (T),0.6407656100852507,0.6807185716556713,0.03995296157042061
gpt,gpt-5.2,GPT-5.2,0.461030302286758,0.5020210448603397,0.04099074257358171
